機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,6863,1616,31,26,0,1/120.4,1/221.4,1/264.0,1/0.0
ネオアイムジャグラーEX,882,2767,-919,7,7,0,1/197.6,1/395.3,1/395.3,1/0.0
ネオアイムジャグラーEX,883,1338,41,6,1,0,1/191.1,1/223.0,1/1338.0,1/0.0
ネオアイムジャグラーEX,884,3825,-110,13,12,0,1/153.0,1/294.2,1/318.8,1/0.0
ネオアイムジャグラーEX,885,1298,-424,4,2,0,1/216.3,1/324.5,1/649.0,1/0.0
ネオアイムジャグラーEX,886,2124,-1035,7,0,0,1/303.4,1/303.4,1/0.0,1/0.0
ネオアイムジャグラーEX,887,2687,157,12,4,0,1/167.9,1/223.9,1/671.8,1/0.0
ネオアイムジャグラーEX,888,4620,523,21,10,0,1/149.0,1/220.0,1/462.0,1/0.0
ネオアイムジャグラーEX,889,2077,-919,5,4,0,1/230.8,1/415.4,1/519.2,1/0.0
ネオアイムジャグラーEX,890,4453,-500,15,14,0,1/153.6,1/296.9,1/318.1,1/0.0
ネオアイムジャグラーEX,891,2377,-738,6,9,0,1/158.5,1/396.2,1/264.1,1/0.0
ネオアイムジャグラーEX,892,3004,-919,8,9,0,1/176.7,1/375.5,1/333.8,1/0.0
ネオアイムジャグラーEX,893,3079,-122,12,7,0,1/162.1,1/256.6,1/439.9,1/0.0
ネオアイムジャグラーEX,894,5478,157,18,25,0,1/127.4,1/304.3,1/219.1,1/0.0
ネオアイムジャグラーEX,895,1556,-390,5,3,0,1/194.5,1/311.2,1/518.7,1/0.0
ネオアイムジャグラーEX,896,3647,-413,12,11,0,1/158.6,1/303.9,1/331.5,1/0.0
ネオアイムジャグラーEX,897,2931,-1686,4,8,0,1/244.2,1/732.8,1/366.4,1/0.0
ネオアイムジャグラーEX,898,4987,-180,21,10,0,1/160.9,1/237.5,1/498.7,1/0.0
ネオアイムジャグラーEX,899,3413,471,15,9,0,1/142.2,1/227.5,1/379.2,1/0.0
ネオアイムジャグラーEX,900,6476,-1081,21,17,0,1/170.4,1/308.4,1/380.9,1/0.0
ネオアイムジャグラーEX,901,4529,-552,17,11,0,1/161.8,1/266.4,1/411.7,1/0.0
ネオアイムジャグラーEX,902,1645,-901,4,3,0,1/235.0,1/411.2,1/548.3,1/0.0
ネオアイムジャグラーEX,903,4469,436,20,11,0,1/144.2,1/223.4,1/406.3,1/0.0
ネオアイムジャグラーEX,904,1717,-1035,4,2,0,1/286.2,1/429.2,1/858.5,1/0.0
ネオアイムジャグラーEX,905,2506,-1012,7,4,0,1/227.8,1/358.0,1/626.5,1/0.0
ネオアイムジャグラーEX,906,6987,360,27,20,0,1/148.7,1/258.8,1/349.4,1/0.0
ネオアイムジャグラーEX,907,1870,-87,8,3,0,1/170.0,1/233.8,1/623.3,1/0.0
ネオアイムジャグラーEX,908,3929,-41,15,10,0,1/157.2,1/261.9,1/392.9,1/0.0
ネオアイムジャグラーEX,909,2863,0,11,6,0,1/168.4,1/260.3,1/477.2,1/0.0
ネオアイムジャグラーEX,910,5812,1384,25,22,0,1/123.7,1/232.5,1/264.2,1/0.0
ネオアイムジャグラーEX,911,1538,-901,3,2,0,1/307.6,1/512.7,1/769.0,1/0.0
ネオアイムジャグラーEX,912,2709,-390,9,4,0,1/208.4,1/301.0,1/677.2,1/0.0
ネオアイムジャグラーEX,913,3908,988,20,9,0,1/134.8,1/195.4,1/434.2,1/0.0
ネオアイムジャグラーEX,914,6678,2628,36,22,0,1/115.1,1/185.5,1/303.5,1/0.0
ネオアイムジャグラーEX,915,2720,-343,10,7,0,1/160.0,1/272.0,1/388.6,1/0.0
ネオアイムジャグラーEX,916,2204,64,9,4,0,1/169.5,1/244.9,1/551.0,1/0.0
ネオアイムジャグラーEX,917,1174,-1151,1,2,0,1/391.3,1/1174.0,1/587.0,1/0.0
ネオアイムジャグラーEX,918,5734,0,21,12,0,1/173.8,1/273.0,1/477.8,1/0.0
ネオアイムジャグラーEX,919,1388,-715,3,3,0,1/231.3,1/462.7,1/462.7,1/0.0
ネオアイムジャグラーEX,920,5451,-221,20,18,0,1/143.4,1/272.6,1/302.8,1/0.0
ゴーゴージャグラー3,921,2825,-1826,5,7,0,1/235.4,1/565.0,1/403.6,1/0.0
ゴーゴージャグラー3,922,5990,430,25,16,0,1/146.1,1/239.6,1/374.4,1/0.0
ゴーゴージャグラー3,923,3361,-622,12,9,0,1/160.0,1/280.1,1/373.4,1/0.0
ゴーゴージャグラー3,924,1592,-1221,2,2,0,1/398.0,1/796.0,1/796.0,1/0.0
ゴーゴージャグラー3,925,3932,-2349,6,8,0,1/280.9,1/655.3,1/491.5,1/0.0
ゴーゴージャグラー3,926,2210,-145,9,3,0,1/184.2,1/245.6,1/736.7,1/0.0
ゴーゴージャグラー3,927,8186,826,32,39,0,1/115.3,1/255.8,1/209.9,1/0.0
ゴーゴージャグラー3,928,1214,-1407,0,2,0,1/607.0,1/0.0,1/607.0,1/0.0
ゴーゴージャグラー3,929,5919,3942,34,29,0,1/94.0,1/174.1,1/204.1,1/0.0
ゴーゴージャグラー3,930,2516,-831,7,8,0,1/167.7,1/359.4,1/314.5,1/0.0
ゴーゴージャグラー3,931,4857,1686,28,13,0,1/118.5,1/173.5,1/373.6,1/0.0
ゴーゴージャグラー3,932,3530,-424,14,7,0,1/168.1,1/252.1,1/504.3,1/0.0
ゴーゴージャグラー3,933,4796,-250,17,17,0,1/141.1,1/282.1,1/282.1,1/0.0
ゴーゴージャグラー3,934,4660,297,20,13,0,1/141.2,1/233.0,1/358.5,1/0.0
ゴーゴージャグラー3,935,3017,320,14,7,0,1/143.7,1/215.5,1/431.0,1/0.0
ゴーゴージャグラー3,936,2142,366,11,5,0,1/133.9,1/194.7,1/428.4,1/0.0
ゴーゴージャグラー3,937,8507,570,38,25,0,1/135.0,1/223.9,1/340.3,1/0.0
ゴーゴージャグラー3,938,2412,-436,8,7,0,1/160.8,1/301.5,1/344.6,1/0.0
ゴーゴージャグラー3,939,1581,-459,6,2,0,1/197.6,1/263.5,1/790.5,1/0.0
ゴーゴージャグラー3,940,7229,-2209,20,23,0,1/168.1,1/361.4,1/314.3,1/0.0
スマスロ北斗の拳,291,4071,1267,54,12,0,1/61.7,1/75.4,1/339.2,1/0.0
スマスロ北斗の拳,292,1153,1988,31,1,0,1/36.0,1/37.2,1/1153.0,1/0.0
スマスロ北斗の拳,293,607,-599,2,1,0,1/202.3,1/303.5,1/607.0,1/0.0
スマスロ北斗の拳,294,1076,320,15,1,0,1/67.2,1/71.7,1/1076.0,1/0.0
スマスロ北斗の拳,295,1772,-453,17,4,0,1/84.4,1/104.2,1/443.0,1/0.0
スマスロ北斗の拳,296,2771,-1919,16,6,0,1/126.0,1/173.2,1/461.8,1/0.0
スマスロ北斗の拳,297,1777,-1174,10,4,0,1/126.9,1/177.7,1/444.2,1/0.0
スマスロ北斗の拳,298,918,-738,5,2,0,1/131.1,1/183.6,1/459.0,1/0.0
スマスロ北斗の拳,299,3672,547,41,9,0,1/73.4,1/89.6,1/408.0,1/0.0
スマスロ北斗の拳,300,1954,6279,69,3,0,1/27.1,1/28.3,1/651.3,1/0.0
スマスロ北斗の拳,301,3625,-797,33,10,0,1/84.3,1/109.8,1/362.5,1/0.0
スマスロ北斗の拳,302,1365,-1198,7,2,0,1/151.7,1/195.0,1/682.5,1/0.0
スマスロ北斗の拳,303,1585,-169,16,6,0,1/72.0,1/99.1,1/264.2,1/0.0
スマスロ北斗の拳,304,1873,1988,28,2,0,1/62.4,1/66.9,1/936.5,1/0.0
スマスロ北斗の拳,305,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,306,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,307,965,-471,7,2,0,1/107.2,1/137.9,1/482.5,1/0.0
スマスロ北斗の拳,308,2014,-593,19,4,0,1/87.6,1/106.0,1/503.5,1/0.0
スマスロ北斗の拳,309,1104,-506,8,3,0,1/100.4,1/138.0,1/368.0,1/0.0
スマスロ北斗の拳,310,1296,-1058,4,2,0,1/216.0,1/324.0,1/648.0,1/0.0
ファンキージャグラー2,841,4607,238,20,9,0,1/158.9,1/230.3,1/511.9,1/0.0
ファンキージャグラー2,842,3082,-1570,6,6,0,1/256.8,1/513.7,1/513.7,1/0.0
ファンキージャグラー2,843,3290,-1686,8,5,0,1/253.1,1/411.2,1/658.0,1/0.0
ファンキージャグラー2,844,2169,599,12,4,0,1/135.6,1/180.8,1/542.2,1/0.0
ファンキージャグラー2,845,2846,99,12,6,0,1/158.1,1/237.2,1/474.3,1/0.0
ファンキージャグラー2,846,1953,-1291,3,5,0,1/244.1,1/651.0,1/390.6,1/0.0
ファンキージャグラー2,847,3478,-424,13,6,0,1/183.1,1/267.5,1/579.7,1/0.0
ファンキージャグラー2,848,3670,1640,20,13,0,1/111.2,1/183.5,1/282.3,1/0.0
ファンキージャグラー2,849,1928,-942,5,4,0,1/214.2,1/385.6,1/482.0,1/0.0
ファンキージャグラー2,850,3315,-564,14,2,0,1/207.2,1/236.8,1/1657.5,1/0.0
ファンキージャグラー2,851,4136,-169,16,9,0,1/165.4,1/258.5,1/459.6,1/0.0
ファンキージャグラー2,852,2518,-297,8,5,0,1/193.7,1/314.8,1/503.6,1/0.0
ファンキージャグラー2,853,5112,1035,21,19,0,1/127.8,1/243.4,1/269.1,1/0.0
ファンキージャグラー2,854,2471,483,13,7,0,1/123.5,1/190.1,1/353.0,1/0.0
ファンキージャグラー2,855,3645,866,18,10,0,1/130.2,1/202.5,1/364.5,1/0.0
ファンキージャグラー2,856,3987,-192,16,8,0,1/166.1,1/249.2,1/498.4,1/0.0
ファンキージャグラー2,857,964,-965,1,0,0,1/964.0,1/964.0,1/0.0,1/0.0
ファンキージャグラー2,858,3902,1128,19,10,0,1/134.6,1/205.4,1/390.2,1/0.0
ファンキージャグラー2,859,3913,-738,13,11,0,1/163.0,1/301.0,1/355.7,1/0.0
ファンキージャグラー2,860,2119,-355,8,4,0,1/176.6,1/264.9,1/529.8,1/0.0
マイジャグラーV,861,5870,645,24,16,0,1/146.8,1/244.6,1/366.9,1/0.0
マイジャグラーV,862,4161,-703,14,6,0,1/208.1,1/297.2,1/693.5,1/0.0
マイジャグラーV,863,2152,-808,6,5,0,1/195.6,1/358.7,1/430.4,1/0.0
マイジャグラーV,864,7304,-599,27,18,0,1/162.3,1/270.5,1/405.8,1/0.0
マイジャグラーV,865,1848,-401,5,5,0,1/184.8,1/369.6,1/369.6,1/0.0
マイジャグラーV,866,7337,994,34,17,0,1/143.9,1/215.8,1/431.6,1/0.0
マイジャグラーV,867,2095,-895,6,2,0,1/261.9,1/349.2,1/1047.5,1/0.0
マイジャグラーV,868,6245,35,22,20,0,1/148.7,1/283.9,1/312.2,1/0.0
マイジャグラーV,869,2883,-965,8,8,0,1/180.2,1/360.4,1/360.4,1/0.0
マイジャグラーV,870,6071,709,26,13,0,1/155.7,1/233.5,1/467.0,1/0.0
マイジャグラーV,871,3305,-250,11,8,0,1/173.9,1/300.5,1/413.1,1/0.0
マイジャグラーV,872,5548,169,20,17,0,1/149.9,1/277.4,1/326.4,1/0.0
マイジャグラーV,873,5119,1233,27,12,0,1/131.3,1/189.6,1/426.6,1/0.0
