機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
ネオアイムジャグラーEX,881,1282,-1221,1,2,0,1/427.3,1/1282.0,1/641.0,1/0.0
ネオアイムジャグラーEX,882,2458,-506,8,3,0,1/223.5,1/307.2,1/819.3,1/0.0
ネオアイムジャグラーEX,883,1258,-308,5,0,0,1/251.6,1/251.6,1/0.0,1/0.0
ネオアイムジャグラーEX,884,5464,-686,17,14,0,1/176.3,1/321.4,1/390.3,1/0.0
ネオアイムジャグラーEX,885,1367,-738,3,1,0,1/341.8,1/455.7,1/1367.0,1/0.0
ネオアイムジャグラーEX,886,4049,2581,27,9,0,1/112.5,1/150.0,1/449.9,1/0.0
ネオアイムジャグラーEX,887,356,-448,0,1,0,1/356.0,1/0.0,1/356.0,1/0.0
ネオアイムジャグラーEX,888,3400,-773,11,10,0,1/161.9,1/309.1,1/340.0,1/0.0
ネオアイムジャグラーEX,889,2887,-576,8,11,0,1/151.9,1/360.9,1/262.5,1/0.0
ネオアイムジャグラーEX,890,3109,-1547,7,4,0,1/282.6,1/444.1,1/777.2,1/0.0
ネオアイムジャグラーEX,891,579,-599,0,1,0,1/579.0,1/0.0,1/579.0,1/0.0
ネオアイムジャグラーEX,892,3996,-779,14,6,0,1/199.8,1/285.4,1/666.0,1/0.0
ネオアイムジャグラーEX,893,1347,-762,2,3,0,1/269.4,1/673.5,1/449.0,1/0.0
ネオアイムジャグラーEX,894,487,-459,0,1,0,1/487.0,1/0.0,1/487.0,1/0.0
ネオアイムジャグラーEX,895,3554,-686,12,5,0,1/209.1,1/296.2,1/710.8,1/0.0
ネオアイムジャグラーEX,896,356,-250,1,0,0,1/356.0,1/356.0,1/0.0,1/0.0
ネオアイムジャグラーEX,897,5242,-669,16,17,0,1/158.8,1/327.6,1/308.4,1/0.0
ネオアイムジャグラーEX,898,475,-366,1,1,0,1/237.5,1/475.0,1/475.0,1/0.0
ネオアイムジャグラーEX,899,2286,773,11,9,0,1/114.3,1/207.8,1/254.0,1/0.0
ネオアイムジャグラーEX,900,4404,1233,20,12,0,1/137.6,1/220.2,1/367.0,1/0.0
ネオアイムジャグラーEX,901,6458,2023,35,20,0,1/117.4,1/184.5,1/322.9,1/0.0
ネオアイムジャグラーEX,902,2659,1105,14,8,0,1/120.9,1/189.9,1/332.4,1/0.0
ネオアイムジャグラーEX,903,4888,733,22,13,0,1/139.7,1/222.2,1/376.0,1/0.0
ネオアイムジャグラーEX,904,230,-238,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,905,1528,669,9,3,0,1/127.3,1/169.8,1/509.3,1/0.0
ネオアイムジャグラーEX,906,4658,308,19,13,0,1/145.6,1/245.2,1/358.3,1/0.0
ネオアイムジャグラーEX,907,431,-331,1,0,0,1/431.0,1/431.0,1/0.0,1/0.0
ネオアイムジャグラーEX,908,1656,-541,4,5,0,1/184.0,1/414.0,1/331.2,1/0.0
ネオアイムジャグラーEX,909,2788,1035,15,6,0,1/132.8,1/185.9,1/464.7,1/0.0
ネオアイムジャグラーEX,910,1658,-262,7,2,0,1/184.2,1/236.9,1/829.0,1/0.0
ネオアイムジャグラーEX,911,567,-390,1,0,0,1/567.0,1/567.0,1/0.0,1/0.0
ネオアイムジャグラーEX,912,2891,-110,11,7,0,1/160.6,1/262.8,1/413.0,1/0.0
ネオアイムジャグラーEX,913,2834,-424,9,8,0,1/166.7,1/314.9,1/354.2,1/0.0
ネオアイムジャグラーEX,914,1536,-192,5,3,0,1/192.0,1/307.2,1/512.0,1/0.0
ネオアイムジャグラーEX,915,2196,-366,6,6,0,1/183.0,1/366.0,1/366.0,1/0.0
ネオアイムジャグラーEX,916,2091,-227,8,4,0,1/174.2,1/261.4,1/522.8,1/0.0
ネオアイムジャグラーEX,917,2803,-738,9,6,0,1/186.9,1/311.4,1/467.2,1/0.0
ネオアイムジャグラーEX,918,197,-285,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ネオアイムジャグラーEX,919,1202,-110,5,2,0,1/171.7,1/240.4,1/601.0,1/0.0
ネオアイムジャグラーEX,920,5521,593,24,15,0,1/141.6,1/230.0,1/368.1,1/0.0
ゴーゴージャグラー3,921,2123,110,8,8,0,1/132.7,1/265.4,1/265.4,1/0.0
ゴーゴージャグラー3,922,2700,1128,16,7,0,1/117.4,1/168.8,1/385.7,1/0.0
ゴーゴージャグラー3,923,5347,-610,18,18,0,1/148.5,1/297.1,1/297.1,1/0.0
ゴーゴージャグラー3,924,428,-331,0,2,0,1/214.0,1/0.0,1/214.0,1/0.0
ゴーゴージャグラー3,925,2263,669,12,6,0,1/125.7,1/188.6,1/377.2,1/0.0
ゴーゴージャグラー3,926,714,-541,1,1,0,1/357.0,1/714.0,1/714.0,1/0.0
ゴーゴージャグラー3,927,3093,599,14,10,0,1/128.9,1/220.9,1/309.3,1/0.0
ゴーゴージャグラー3,928,1456,-355,4,4,0,1/182.0,1/364.0,1/364.0,1/0.0
ゴーゴージャグラー3,929,262,-192,0,1,0,1/262.0,1/0.0,1/262.0,1/0.0
ゴーゴージャグラー3,930,6244,-477,20,25,0,1/138.8,1/312.2,1/249.8,1/0.0
ゴーゴージャグラー3,931,202,-262,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,932,372,64,2,0,0,1/186.0,1/186.0,1/0.0,1/0.0
ゴーゴージャグラー3,933,3596,337,15,12,0,1/133.2,1/239.7,1/299.7,1/0.0
ゴーゴージャグラー3,934,689,-355,2,1,0,1/229.7,1/344.5,1/689.0,1/0.0
ゴーゴージャグラー3,935,517,-669,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,936,2574,145,9,10,0,1/135.5,1/286.0,1/257.4,1/0.0
ゴーゴージャグラー3,937,443,-413,0,1,0,1/443.0,1/0.0,1/443.0,1/0.0
ゴーゴージャグラー3,938,5297,616,24,14,0,1/139.4,1/220.7,1/378.4,1/0.0
ゴーゴージャグラー3,939,1092,-64,3,4,0,1/156.0,1/364.0,1/273.0,1/0.0
ゴーゴージャグラー3,940,3230,-1081,9,9,0,1/179.4,1/358.9,1/358.9,1/0.0
スマスロ北斗の拳,291,934,-157,9,1,0,1/93.4,1/103.8,1/934.0,1/0.0
スマスロ北斗の拳,292,995,-890,5,2,0,1/142.1,1/199.0,1/497.5,1/0.0
